contributor_employer,employer_categories,cleaned_boss,number_jobs,num_donations,total_donations
NOT EMPLOYED,UNEMPLOYED,UNEMPLOYED,4995,4995,3941525.48
RETIRED,REITRED,RETIRED,1823,1823,941908.62
SELF EMPLOYED,SELF EMPLOYED,SELF EMPLOYED,674,674,562666.68
N/A,N/A,N/A,496,496,166423.49
SELF-EMPLOYED,SELF EMPLOYED,SELF EMPLOYED,289,289,273213.2
NA,N/A,N/A,288,288,187761.61
NONE,NONE,NONE,248,248,69792.8
INFORMATION REQUESTED PER BEST EFFORTS,INFORMATION REQUESTED PER BEST EFFORTS,INFORMATION REQUESTED,112,112,177655
SELF,SELF,SELF,109,109,106378.22
STATE OF MARYLAND,MARYLAND GOV,STATE OF MARYLAND,65,65,46284
JOHNS HOPKINS UNIVERSITY,JOHNS HOPKINS,JOHN'S HOPKINS UNIVERSITY,60,60,33777.76
UNIVERSITY OF MARYLAND,UNIVERSITY OF MARYLAND,UNIVERSITY OF MARYLANBD,53,53,35063.76
PRINCE GEORGE'S COUNTY,PRINCE GEORGES COUNTY,PRINC GEORGE'S COUNTY,47,47,20873
FEDERAL GOVERNMENT,US GOV,FEDERAL GOVERNMENT,33,33,12760.81
HOMEMAKER,HOMEMAKER,HOMEMAKER,33,33,83333.35
GOVERNMENT,GOVERNMENT,GOVERNMENT,22,22,5312.47
NATIONAL INSTITUTES OF HEALTH,NATIONAL INSTITUTES OF HEALTH,NATIONAL INSTITUTE OF HEALTH,19,19,10653.62
CORNERSTONE GOVERNMENT AFFAIRS,CORNERSTONE GOVERNMENT AFFAIRS,CORNERSTONE GOVERNMENT AFFAIRS,18,18,39800
GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY,GEORGETOWN UNIVERSITY,18,18,10328.26
AMERICAN UNIVERSITY,AMERICAN UNIVERSITY,AMERICAN UNIVERSITY,16,16,8270
2ND REQUEST MADE,2ND REQUEST MADE,2ND REQUEST MADE,15,15,3064.1
FDA,FDA,FDA,15,15,10600.08
US GOVERNMENT,US GOV,U.S. GOVERNMENT,15,15,15644.76
MEDSTAR HEALTH INC,MEDSTAR HEALTH INC,MEDSTAR HEALTH INC,14,14,16251
NIH,NIH,NIH,14,14,9229
US FOOD AND DRUG ADMINISTRATION,US GOV,U.S. FOOD AND DRUG ADMINISTRATION,14,14,5580.2
CONSTELLATION ENERGY,CONSTELLATION ENERGY,CONSTELLATION ENERGY,13,13,14020.51
GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERASITY,13,13,12531.75
BROWNSTEIN HYATT FARBER SCHRECK,BROWNSTEIN HYATT FARBER SCHRECK LLP,BROWNSTEIN HYATT FARBER SCHRECK LLP,12,12,6770.51
MONTGOMERY COUNTY PUBLIC SCHOOLS,MONTGOMERY COUNTY,MONTGOMERY COUNTY PUBLIC SCHOOL SYSTEM,12,12,7440.2
UNEMPLOYED,UNEMPLOYED,UNEMPLOYED,12,12,9142.83
CORNERSTONE GOVERNMENT AFFAIRS INC,CORNERSTONE GOVERNMENT AFFAIRS,CORNERSTONE GOVERNMENT AFFAIRS,11,11,14600
DOD,DOD,DOD,11,11,1634.01
HOWARD UNIVERSITY,HOWARD UNIVERSITY,HOWARD UNIVERSITY,11,11,3629
JOHNS HOPKINS,JOHNS HOPKINS,JOHN'S HOPKINS,11,11,8747.05
LEIDOS,LEIDOS,LEIDOS,10,10,8912.55
MARYLAND GENERAL ASSEMBLY,MARYLAND GENERAL ASSEMBLY,MARYLAND GENERAL ASSEMBLY,10,10,6360
US DEPARTMENT OF JUSTICE,US GOV,DEPARTMENT OF JUSTICE,10,10,2360
WILMER CUTLER PICKERING HALE AND DORR,WILMER CUTLER PICKERING HALE AND DORR,WILMER CUTLER PICKERING HALE AND DORR,10,10,17750
WORLD BANK,WORLD BANK,WORLD BANK,10,10,5826
AVENUE SOLUTIONS,AVENUE SOLUTIONS,AVENUE SOLUTIONS,9,9,37100
FORBES TATE PARTNERS,FORBES TATE PARTNERS,FORBES TATE PARTNERS,9,9,19600
INFORMATION REQUESTED,INFORMATION REQUESTED,INFORMATION REQUESTED,9,9,4300
MONUMENT ADVOCACY,MONUMENT ADVOCACY,MONUMENT ADVOCACY,9,9,11100
NORTHROP GRUMMAN,NORTHROP GRUMMAN,NORTHROP GRUMMAN,9,9,6170.5599999999995
STATE OF MD,STATE OF MD,STATE OF MD,9,9,1115
ARNOLD & PORTER KAYE SCHOLER LLP,ARNOLD & PORTER LLP,ARNOLD & PORTER LLP,8,8,20750
CONSTELLATION,CONSTELLATION,CONSTELLATION,8,8,6582.03
LOCKHEED MARTIN,LOCKHEED MARTIN,LOCKHEED MARTIN,8,8,5599
MCPS,M.C.P.S.,M.C.P.S.,8,8,4732.25
MONTGOMERY COUNTY,MONTGOMERY COUNTY,MONTGOMERY COUNTY,8,8,3250
NATIONAL INSTITUTE OF HEALTH,NATIONAL INSTITUTE OF HEALTH,NATIONAL INSTITUTE OF HEALTH,8,8,4000
PRINCE GEORGE'S COUNTY PUBLIC SCHOOLS,PRINCE GEORGES COUNTY,PRINC GEORGE'S COUNTY PUBLIC SCHOOLS,8,8,2034.34
US DEPARTMENT OF DEFENSE,US GOV,DEPARTMENT OF DEFENSE,8,8,2350.5
US DEPARTMENT OF EDUCATION,US GOV,US DEPARTMENT OF EDUCATION,8,8,1600
VENABLE LLP,VENABLE LLP,VENABLE LLP,8,8,11150
BCC BASEBALL,BCC BASEBALL,BCC BASEBALL,7,7,3842.16
COVINGTON & BURLING LLP,COVINGTON  BURLING LLP,COVINGTON  BURLING LLP,7,7,9060.25
DEPARTMENT OF DEFENSE,US GOV,DEPARTMENT OF DEFENSE,7,7,4020
GALLAGHER EVELIUS & JONES LLP,GALLAGHER EVELIUS & JONES LLP,GALLAGHER EVELIUS & JONES,7,7,6350
LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,LIBRARY OF CONGRESS,7,7,3291.65
MONTGOMERY COLLEGE,MONTGOMERY COLLEGE,MONTGOMERY COLLEGE,7,7,2750.05
US ARMY,US GOV,U.S. ARMY,7,7,2866.15
USDA,USDA,USDA,7,7,1965
AGM FINANCIAL SERVICES INC,AGM FINANCIAL SERVICES INC,AGM FINANCIAL SERVICES INC,6,6,8500
AKIN GUMP STRAUSS HAUER & FELD LLP,AKIN GUMP STRAUSS HAUER & FELD L.L.P,AKIN GUMP STRAUSS HAUER & FELD L.L.P,6,6,7388.7
AMY E VON CANNON,AMY E VAN CANNON,AMY E VAN CANNON,6,6,4800
BALLARD SPAHR LLP,BALLARD SPAHR LLP,BALLARD SPAHR,6,6,8700
BALTIMORE COUNTY,BALTIMORE COUNTY,BALTIMORE COUNTY,6,6,2650
BGR GROUP,BGR GROUP,BGR GROUP,6,6,16750
BROWNSTEIN HYATT FARBER SCHRECK LLP,BROWNSTEIN HYATT FARBER SCHRECK LLP,BROWNSTEIN HYATT FARBER SCHRECK LLP,6,6,6000
D&P CREATIVE STRATEGIES LLC,D&P CREATIVE STRATEGIES LLC,D&P CREATIVE STRATEGIES LLC,6,6,6000
DISTRICT OF COLUMBIA,DC GOV,DISTRICT OF COLUMBIA,6,6,1903
GATINAIS FOUNDATION,GATINAIS FOUNDATION,GATINAIS FOUNDATION,6,6,3534.62
HHS,HHS,HHS,6,6,1312.5
JOHNS HOPKINS APPLIED PHYSICS LAB,JOHNS HOPKINS,JOHNS HOPKINS APPLIED PHYSICS LAB,6,6,25432
K&L GATES LLP,K&L GATES LLP,K&L GATES LLP,6,6,3606.5
MARYLAND,MARYLAND,MARYLAND,6,6,7058.34
MEDSTAR SHAH MEDICAL GROUP,MEDSTAR SHAH MED GROUP,MEDSTAR SHAH MED GROUP,6,6,4750
META,META,META,6,6,12650
MORGAN STATE UNIVERSITY,MORGAN STATE UNIVERSITY,MORGAN STATE UNIVERSITY,6,6,1905.24
NASA,NASA,NASA,6,6,3535
NATURAL RESOURCES DEFENSE COUNCIL,NATURAL RESOURCES DEFENSE COUNCIL,NATIONAL RESOURCES DEFENSE COUNCIL,6,6,4250
NVG LLC,NVG LLC,NVG LLC,6,6,7450
RACHEL CARSON COUNCIL,RACHEL CARSON COUNCIL,RACHEL CARSON COUNCIL,6,6,2875
SSA,SSA,SSA,6,6,416.7
STEPTOE & JOHNSON LLP,STEPTOE  JOHNSON,STEPTOE  JOHNSON,6,6,10575
THORN RUN PARTNERS,THORN RUN PARTNERS,THORN RUN PARTNERS,6,6,3500
U.S. GOVERNMENT,US GOV,U.S. GOVERNMENT,6,6,4394.1
UNITED STATES CONGRESS,US GOV,UNITED STATES CONGESS,6,6,2375
UNIVERSITY OF MARYLAND BALTIMORE,UNIVERSITY OF MARYLAND BALTIMORE,UNIVERSITY OF MARYLAND BALTIMORE,6,6,3360
UNIVERSITY OF MARYLAND BALTIMORE COUNT,UNIVERSITY OF MARYLAND BALTIMORE COUNT,UNIVERSITY OF MARYLAND BALTIMORE,6,6,1779.2
US DEPARTMENT OF HEALTH AND HUMAN SERV,US GOV,U.S. DEPARTMENT OF HEALTH AND HUMAN SE,6,6,1150
USPS,USPS,USPS,6,6,808
VA,VA,VA,6,6,2063.5
WILMERHALE,WILMERHALE,WILMERHALE,6,6,8750
AIRLINES FOR AMERICA,AIRLINES FOR AMERICA,AIRLINES FOR AMERICA,5,5,5000
AKIN GUMP STRAUSS HAUER & FELD,AKIN GUMP STRAUSS HAUER & FELD L.L.P,AKIN GUMP STRAUSS HAUER  FELD,5,5,3710
AT&T,AT & T,AT & T,5,5,5065
CAPITOL COUNSEL LLC,CAPITOL COUNSEL LLC,CAPITOL COUNSEL,5,5,5750
"CAPITOL COUNSEL, LLC",CAPITOL COUNSEL LLC,CAPITOL COUNSEL,5,5,2750
CAREFIRST,CAREFIRST,CAREFIRST,5,5,909.1
COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,5,5,5465
COMCAST,COMCAST,COMCAST,5,5,3500
DHHS,DHHS,DHHS,5,5,1773.8200000000002
DLA PIPER,DLA PIPER,DLA PIPER,5,5,20175
DOBBS DEFENSE SOLUTIONS,DOBBS DEFENSE SOLUTIONS,DOBBS DEFENSE SOLUTIONS,5,5,5750.040000000001
ENTREPRENEUR,ENTREPRENEUR,ENTREPRENEUR,5,5,1880
FEDERAL EMERGENCY MANAGEMENT AGENCY,FEDERAL EMERGENCY MANAGEMENT AGENCY,FEDERAL EMERGENCY MANAGEMENT AGENCY,5,5,1099
