contributor_zip,total_population,median_age,median_income,num_donations,total_amt_donated,white_alone_percent,black_alone_percent,native_american_percent,asian_alone_percent,hawaiian_pacific_percent,other_race_percent,two_or_more_races_percent,amt_donated_per_resident
21023,68,62.7,76131,3,14600,100,0,0,0,0,0,0,214.7058823529412
21031,26,NA,NA,1,5000,0,100,0,0,0,0,0,192.30769230769232
21056,318,66.5,250001,13,22771.02,100,0,0,0,0,0,0,71.60698113207548
21285,10,NA,NA,1,500,100,0,0,0,0,0,0,50
21051,113,39.3,NA,3,4820.5,100,0,0,0,0,0,0,42.65929203539823
21654,1260,67.7,77288,20,25772.55,89.68253968253968,3.015873015873016,0,0.2380952380952381,0,0.15873015873015872,6.904761904761905,20.45440476190476
21679,255,68.5,NA,1,3300,100,0,0,0,0,0,0,12.941176470588236
21405,383,59,150208,4,4733.21,100,0,0,0,0,0,0,12.358250652741514
21930,27,NA,NA,1,312.3,100,0,0,0,0,0,0,11.566666666666666
21662,657,56.8,167647,3,6803.57,80.82191780821918,9.74124809741248,0,3.50076103500761,0,5.93607305936073,0,10.355509893455098
20758,542,55.1,112065,4,5550,91.69741697416974,8.302583025830259,0,0,0,0,0,10.239852398523984
20815,31080,46.3,185873,301,316366.69,77.99549549549549,7.136422136422136,0.22844272844272845,7.7992277992278,0,0.6692406692406693,6.171171171171172,10.17910842985843
21082,694,51.6,137399,1,6600,93.51585014409221,0,0,1.585014409221902,0,0,4.899135446685879,9.510086455331413
20896,840,53.2,250001,7,7100,84.76190476190476,0.9523809523809524,0,5.952380952380952,0,0,8.333333333333332,8.452380952380953
20817,37795,45.4,231292,198,284292.21,67.41897076332847,6.019314724169863,0.14816774705648897,15.650218282841646,0.0502711998941659,2.1404947744410636,8.57256250826829,7.521952903823258
21653,105,58.4,NA,2,750,100,0,0,0,0,0,0,7.142857142857143
20862,268,63.2,192083,3,1750,83.2089552238806,0,0,0,0,0,16.791044776119403,6.529850746268656
20759,6125,39.6,246618,31,36266,51.755102040816325,13.46938775510204,0,24.66938775510204,0,0.39183673469387753,9.714285714285714,5.920979591836734
20816,17390,45.1,228311,100,100733.18,80.27027027027027,3.438757906843013,0,6.854514088556642,0,1.36860264519839,8.067855089131685,5.792592294422081
20818,1787,50.5,211196,9,9953.02,61.66759932848349,5.260212646894236,0.11191941801902631,14.21376608841634,0,5.428091773922775,13.318410744264131,5.569681029658646
20854,49320,48.1,241697,193,259310.26,64.11192214111922,4.845904298459043,0.00202757502027575,21.46999188969992,0,1.8309002433090023,7.7392538523925385,5.257710056772101
21210,15005,31.4,114409,71,78861.1,63.94535154948351,15.694768410529825,0.11329556814395202,9.356881039653448,0.04665111629456848,3.5521492835721427,7.290903032322558,5.255654781739421
21663,3646,56.4,76667,14,18300,83.90016456390566,10.422380691168403,0,0.877674163466813,0,0,4.7997805814591334,5.019199122325836
21842,10951,53.1,68626,28,54950,89.27038626609442,3.5704501871975167,0.10044744772166926,0.49310565245183086,0,2.666423157702493,3.8991872888320698,5.017806593005205
20764,3280,49.4,112500,8,16450,78.29268292682927,13.963414634146343,0,1.951219512195122,0,1.5548780487804879,4.237804878048781,5.015243902439025
20860,2279,50.9,152768,10,10485.03,50.10969723562966,16.849495392716104,0,11.978938130759104,0,11.715664765247915,9.346204475647214,4.600715225976305
20814,30234,40.4,149657,138,136801.19,71.35013560891711,6.181782099622941,0.45974730435933053,11.665674406297546,0,1.1510220281801944,9.191638552622875,4.524746642852418
21401,40442,44,114699,117,164346.91,73.2283269867959,15.028930319964392,0.07170763068097523,3.555709411008358,0,3.3109143959250282,4.8044112556253395,4.0637681123584395
21035,8360,44.8,171185,32,33217.67,94.00717703349282,1.4832535885167464,0.11961722488038277,0.6339712918660286,0,1.8899521531100478,1.8660287081339715,3.9734055023923442
21601,23589,49.4,80434,69,85075.48,74.72550765187164,14.706007037178345,0.669803722073848,1.458306837932935,0,2.6495400398490823,5.790834711094154,3.6065742507100764
20861,3031,53.2,175250,8,10900,47.01418673705048,16.925107225338174,0,18.6077202243484,0,9.897723523589574,7.555262289673376,3.5961728802375452
20812,282,49.9,194375,2,1000,85.1063829787234,0.7092198581560284,0,1.0638297872340425,0,1.4184397163120568,11.702127659574469,3.5460992907801416
21658,3883,51.9,124375,10,13757.71,77.00231779551892,7.828998197270153,0.38629925315477726,0.7725985063095545,0,3.7342261138295134,10.275560133917075,3.54306206541334
21659,1225,51.1,68393,2,4300,76.24489795918367,21.714285714285715,0,1.6326530612244898,0,0,0.40816326530612246,3.510204081632653
