contributor_zip,total_population,median_age,median_income,hispanic_or_latino,num_donations,total_amt_donated,white_alone_percent,black_alone_percent,native_american_percent,asian_alone_percent,hawaiian_pacific_percent,other_race_percent,hispanic_or_latino_percent,two_or_more_races_percent,amt_donated_per_resident
21287,0,NA,NA,0,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,Inf
21031,26,NA,NA,0,2,26400,0,100,0,0,0,0,0,0,1015.3846153846154
20639,37,31.5,NA,0,1,3000,0,100,0,0,0,0,0,0,81.08108108108108
21056,318,66.5,250001,0,7,22117.85,100,0,0,0,0,0,0,0,69.55298742138365
20812,282,49.9,194375,25,11,18950,85.1063829787234,0.7092198581560284,0,1.0638297872340425,0,1.4184397163120568,8.865248226950355,11.702127659574469,67.19858156028369
20815,31080,46.3,185873,1926,590,937411.59,77.99549549549549,7.136422136422136,0.22844272844272845,7.7992277992278,0,0.6692406692406693,6.196911196911197,6.171171171171172,30.16124806949807
21705,5,41.5,NA,0,1,150,20,80,0,0,0,0,0,0,30
21153,676,57.8,NA,37,7,14806.35,90.08875739644971,0,0,2.9585798816568047,0,0,5.473372781065089,6.952662721893491,21.902884615384615
20816,17390,45.1,228311,1423,281,310123.24,80.27027027027027,3.438757906843013,0,6.854514088556642,0,1.36860264519839,8.182863714778609,8.067855089131685,17.833423806785508
20817,37795,45.4,231292,3846,365,597996.3,67.41897076332847,6.019314724169863,0.14816774705648897,15.650218282841646,0.0502711998941659,2.1404947744410636,10.17594919962958,8.57256250826829,15.822100806985052
21930,27,NA,NA,0,1,375,100,0,0,0,0,0,0,0,13.88888888888889
21662,657,56.8,167647,110,4,8139,80.82191780821918,9.74124809741248,0,3.50076103500761,0,5.93607305936073,16.7427701674277,0,12.38812785388128
20896,840,53.2,250001,58,6,9595,84.76190476190476,0.9523809523809524,0,5.952380952380952,0,0,6.904761904761905,8.333333333333332,11.422619047619047
20854,49320,48.1,241697,4062,362,514687.5,64.11192214111922,4.845904298459043,0.00202757502027575,21.46999188969992,0,1.8309002433090023,8.236009732360097,7.7392538523925385,10.435675182481752
20814,30234,40.4,149657,2790,267,274466.62,71.35013560891711,6.181782099622941,0.45974730435933053,11.665674406297546,0,1.1510220281801944,9.228021432823972,9.191638552622875,9.078078322418468
21718,143,54.7,90000,3,2,1250,95.1048951048951,0,0,0,0,1.3986013986013985,2.097902097902098,3.4965034965034967,8.741258741258742
20818,1787,50.5,211196,101,17,11925.86,61.66759932848349,5.260212646894236,0.11191941801902631,14.21376608841634,0,5.428091773922775,5.651930609960829,13.318410744264131,6.6736765528819255
20880,604,58.1,131528,26,6,3323.52,77.31788079470199,12.582781456953644,0,2.4834437086092715,0,3.642384105960265,4.304635761589404,3.9735099337748347,5.502516556291391
20895,19273,42.1,165423,2493,99,103327.42,71.90888808177243,5.126342551756343,0.8146111139936698,5.889067607533856,0.26980750272401804,4.514087064805686,12.93519431328802,11.477196077414,5.361252529445338
20776,2966,51.2,118092,123,6,14845.25,86.58125421443022,12.508428860418071,0,0,0,0.30343897505057316,4.146999325691167,0.6068779501011463,5.005141604855024
21647,450,47.9,107361,0,2,2225,99.11111111111111,0,0,0,0,0,0,0.8888888888888888,4.944444444444445
20688,1170,71.9,89295,0,9,4663.69,99.57264957264957,0.3418803418803419,0,0,0,0,0,0.08547008547008547,3.986059829059829
20860,2279,50.9,152768,367,15,8383,50.10969723562966,16.849495392716104,0,11.978938130759104,0,11.715664765247915,16.1035541904344,9.346204475647214,3.6783677051338306
21663,3646,56.4,76667,219,17,12630.81,83.90016456390566,10.422380691168403,0,0.877674163466813,0,0,6.006582556226001,4.7997805814591334,3.4642923752057047
20910,45072,35.1,103813,5317,200,154230.87,46.63427405040824,30.72639332623358,0.30839545615903446,7.268370607028754,0.03106141285055023,5.395811146609868,11.796680866169684,9.635694000709975,3.4218776624068155
21210,15005,31.4,114409,1591,68,51160.79,63.94535154948351,15.694768410529825,0.11329556814395202,9.356881039653448,0.04665111629456848,3.5521492835721427,10.603132289236921,7.290903032322558,3.409582805731423
