candidate_id,candidate_election_year,candidate_name,party_full,incumbent_challenge_full,office,total_receipts,total_disbursements,cash_on_hand_end_period,committee_ids,coverage_end_date,candidate_pcc_id,candidate_pcc_name
S2MD00594,2024,"PEREZ, JOSEPH",DEMOCRATIC PARTY,Open seat,S,0.0,0.0,0.0,{C00816462},,C00816462,PEREZ FOR US SENATE
S2MD00602,2024,"FRIEND, LORIE R",REPUBLICAN PARTY,Open seat,S,1392.05,4916.72,-1976.26,{C00814442},2024-09-30 00:00:00,C00814442,ELECT-A-FRIEND
S2MD00628,2024,"GRIFFIN, SCOTTIE",DEMOCRATIC PARTY,Open seat,S,0.0,0.0,0.0,"{C00820795,C00869099}",,C00869099,SCOTTIE GRIFFIN'S ASSISTANTS
S2MD00651,2024,"WILDMAN, ANDREW JAYE",DEMOCRATIC PARTY,Open seat,S,0.0,0.0,0.0,{C00827071},,C00827071,WILDMAN FOR US SENATE COMMITTEE
S4MD00277,2024,"SEUFERER, STEVEN HENRY",DEMOCRATIC PARTY,Open seat,S,0.00,0.00,0.00,{C00827733},2023-12-31 00:00:00,C00827733,STEVEN HENRY SEUFERER FOR CONGRESS
S4MD00293,2024,"FICKER, ROBIN",REPUBLICAN PARTY,Open seat,S,4430739.88,4428797.48,273.40,{C00832733},2024-09-30 00:00:00,C00832733,ROBIN FICKER FOR US SENATE
S4MD00301,2024,"JAWANDO, WILL",DEMOCRATIC PARTY,Open seat,S,761154.89,622061.95,139092.94,{C00839449},2024-09-30 00:00:00,C00839449,WILL JAWANDO FOR MARYLAND
S4MD00319,2024,"TRONE, DAVID",DEMOCRATIC PARTY,Open seat,S,63726336.59,63926168.65,3274.29,{C00653196},2024-09-30 00:00:00,C00653196,DAVID TRONE FOR MARYLAND
S4MD00327,2024,"ALSOBROOKS, ANGELA",DEMOCRATIC PARTY,Open seat,S,28461432.05,25775998.14,2685433.91,{C00840017},2024-10-16 00:00:00,C00840017,ALSOBROOKS FOR SENATE
S4MD00368,2024,"FRYDENBORG, BRIAN EDWARD",DEMOCRATIC PARTY,Open seat,S,0.0,0.0,0.0,{C00848234},,C00848234,BRIAN FRYDENBORG FOR US SENATE FOR MARYLAND
S4MD00376,2024,"OSUCHUKWU, ONYEKACHI",INDEPENDENT,Open seat,S,0.0,0.0,0.0,{C00850131},,C00850131,CANDIDATE COMMITTEE
S4MD00392,2024,"CREWS, MARCELLUS",DEMOCRATIC PARTY,Open seat,S,0.0,0.0,0.0,{C00851899},,C00851899,ELECT MARCELLUS CREWS
S4MD00400,2024,"TEICHERT, JOHN",REPUBLICAN PARTY,Open seat,S,355612.94,355612.94,0.00,{C00852038},2024-09-30 00:00:00,C00852038,JOHN TEICHERT FOR SENATE
S4MD00418,2024,"SIGMON, MICHAEL R",NEW PROGRESSIVE PARTY,Open seat,S,0.0,0.0,0.0,{C00872747},,C00872747,MICHAEL SIGMON IS HELL BELL FOR THE MARYLAND SENATE
S4MD00459,2024,"WILDMAN, ANDREW JAYE",DEMOCRATIC PARTY,Open seat,S,0.0,0.0,0.0,{C00876151},,C00876151,WILDMAN FOR SENATE COMMITTEE
S4MD00467,2024,"WALLACE, NANCY",GREEN PARTY,Open seat,S,0.0,0.0,0.0,{C00868869},,C00868869,FRIENDS OF NANCY WALLACE
S4MD00475,2024,"WILDMAN, ANDREW JAYE",DEMOCRATIC PARTY,Open seat,S,0.0,0.0,0.0,{C00827071},,C00827071,WILDMAN FOR US SENATE COMMITTEE
S4MD00483,2024,"HOGAN, LARRY",REPUBLICAN PARTY,Open seat,S,10943516.09,9324221.52,1619294.57,{C00869016},2024-10-16 00:00:00,C00869016,HOGAN FOR MARYLAND INC.
S4MD00509,2024,"GRIFFIN, SCOTTIE JO DR",DEMOCRATIC PARTY,Open seat,S,0.0,0.0,0.0,{C00869099},,C00869099,SCOTTIE GRIFFIN'S ASSISTANTS
S4MD00517,2024,"MYRICK, JOHN",REPUBLICAN PARTY,Open seat,S,8019.23,7359.23,660.00,{C00870394},2024-06-30 00:00:00,C00870394,JOHN A. MYRICK FOR SENATE
S4MD00525,2024,"CHAFFEE, CHRISTOPHER",REPUBLICAN PARTY,Open seat,S,0.0,0.0,0.0,{C00871269},,C00871269,CHAFFEE FOR US SENATE
S4MD00533,2024,"BARAKAT, MOHAMMED",REPUBLICAN PARTY,Open seat,S,2211.86,2211.86,0.00,{C00871491},2024-09-30 00:00:00,C00871491,BARAKAT FOR US SENATE
S4MD00541,2024,"SIGMON, MICHAEL RAY",GREEN PARTY,Open seat,S,0.0,0.0,0.0,{C00874263},,C00874263,HELL BENT FOR THE MARYLAND SENATE
S4MD00558,2024,"WILDMAN, ANDREW J",DEMOCRATIC PARTY,Open seat,S,0.0,0.0,0.0,{C00876151},,C00876151,WILDMAN FOR SENATE COMMITTEE
S4MD00574,2024,"HOUTON, ROBERT K.",DEMOCRATIC PARTY,Open seat,S,0.0,0.0,0.0,{C00866871},,C00866871,COMMITTE TO ELECT ROB HOUTON
S4MD00590,2024,"SCOTT, MIKE",LIBERTARIAN PARTY,Open seat,S,0.0,0.0,0.0,{C00865204},,C00865204,MIKE SCOTT FOR SENATE
S4MD00608,2024,"SIGMON, MICHAEL RAY",PROGRESSIVE PARTY,Open seat,S,0.0,0.0,0.0,{C00872747},,C00872747,MICHAEL SIGMON IS HELL BELL FOR THE MARYLAND SENATE
S4MD00624,2024,"BRIDGES, BILLY MR",INDEPENDENT,,S,0.0,0.0,0.0,{C00888610},,C00888610,FRIENDS OF BILLY BRIDGES
